Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
Annas bibliotēka,"Tautas nams, Anna, Annas pag., Alūksnes nov., LV-4341",57.33501,27.02763,Ina Balaņuka,1896,"Bibliotēka ir informācijas, izglītības, kultūras sabiedriskās saskarsmes un novadpētniecības centrs. Nodrošina bibliotēkā esošo dokumentu un informācijas publisku, brīvu, neierobežotu pieejamību un tās izmantošanu ikvienam apmeklētājam. Tiek organizēti bibliotēku, literatūru un lasīšanu popularizējoši, kā arī izglītojoši pasākumi. Apmeklētājiem par brīvu ir pieejamas 7 darba stacijas ar interneta pieslēgumu, iespējas saņemt bezmaksas konsultācijas un apmācības IKT pielietojumā.",Pārtraukums 12:30 - 13:00,,163,6326,Jā
Annas Brigaderes pamatskolas bibliotēka,"Annas Brigaderes skola, Kroņauce, Tērvetes pag., Tērvetes nov., LV-3730",56.5187,23.33321,Aldis Tisenkopfs,1934,1.Atbalsts mācību procesam.;2.Informācijpratības veicināšana.;3.Lasītprasmes veicināšana.;4.Radošas personības veidošana.,Nepieciešamības gadījumos bibliotēka apkalpo lasītājus arī starpbrīžos.,,139,5365,Jā
Annenieku pamatskolas bibliotēka,"Skolas iela 8, Kaķenieki, Annenieku pag., Dobeles nov., LV-3718",56.66722,23.03185,R.Čivčs-Vaivads,1996,"Annenieku pamatskolas bibliotēka veic izglītības īstenošanai nepieciešamo mācību grāmatu uzkrāšanu, uzskaiti, apkalpo lasītājus, sniedz informāciju.",,,79,3025,
Antūžu speciālās internātpamatskolas bibliotēka,"Antūžu speciālā internātpamatskola, Antūži, Variešu pag., Krustpils nov., LV-5209",56.61836,25.94876,Marija Zemīte,1970,"Skolā mācās bērni ar garīgās attīstības traucējumiem. Tiek īstenotas 6 pamatizglītības programmas. Skolā strādā kvalificēts pedagogu kolektīvs. Skolēniem tiek nodrošinātas speciālās korekcijas un rehabilitācijas nodarbības - ārstnieciskā vingrošana, ritmika, logopēdija, fakultatīvu nod., individuālās un grupu nod. atsevišķos māc. priekšmetos, medicīniskā palīdzība, psihiatra palīdzība. ;Skolas bibliotēka atrodas skolas 2 stāvā. Bibliotēkā regulāri notiek izstādes, konkursi, pasākumi. Ir atpūtas un spēļu stūrītis. ;",,,137,7710,
Apes bibliotēka,"Skolas iela 4, Ape, Apes nov., LV-4337",57.53819,26.69415,Mudīte Kaktiņa,1903,,,,575,14032,Jā
APP Agroresursu un ekonomikas institūta Stendes pētniecības centra bibliotēka,"Dižzemes, Dižstende, Lībagu pag., Talsu nov., LV-3258",57.18948,22.56166,Zigurds Kalmanis,1923,"Bez pārtraukuma līdz 2015. gadam. Ar to pašu fondu darbība atsākta 2016. gadā, kad izdarīta inventarizācija, novecojušo izdevumu norakstīšana, saglabājot izdevumus ar kultūrvēsturisku vērtību. Bibliotēka nav akreditēta.",,Jā,13,5649,Jā
Ārciema bibliotēka,"Antoni, Ārciems, Pāles pag., Limbažu nov., LV-4052",57.66173,24.7791,Ligita Skudriņa,1944,Bibliotēka nodrošina pagasta iedzīvotājus ar nepieciešamo informāciju. Veicina pagasta kultūras dzīves attīstību.,,,69,2579,Jā
Aronas pagasta Aronas bibliotēka,"Dimanti, Aronas pag., Madonas nov., LV-4847",56.86274,26.11274,Dace Cāzere,1945,"Bibliotēka sniedz brīvu pieeju dažādiem informācijas resursiem, ir iespēja izmantot bez maksas bezvadu internetu bibliotēkā un tās tiešā tuvumā. Bibliotēka ir vietējās sabiedrības kultūras, izglītības un izklaides centrs.",,,115,5153,Jā
Aronas pagasta Kusas bibliotēka,"Skolas iela 3, Kusa, Aronas pag., Madonas nov., LV-4847",56.89785,26.12875,Solveiga Sāre,1945,"Bibliotēkas galvenās funkcijas ir kultūras un izglītības, informācijas un izklaides darbs. Darba procesi tiek virzīti tā, lai bibliotēka būtu vieta, kur ikviens apmeklētājs ir gaidīts un saņemtu savām interesēm un vēlmēm atbilstošus pakalpojumus. Bibliotēkas esošā un potencionālā misija ir saglabāt esošās kultūras vērtības, turpināt attīstīt informatizācijas procesus, pilnveidot sniegto pakalpojumu klāstu, neaizmirstot, ka bibliotēkas pamatvērtība ir grāmata un rakstītais vārds.",Pārtraukums: 13.00 - 13.30,,259,5443,Jā
Aronas pagasta Viesienas bibliotēka,"Lautere, Lautere, Aronas pag., Madonas nov., LV-4846",56.92143,26.05574,Ina Cimere,1949,"Bibliotēkas esošā un potenciālā misija ir saglabāt esošās kultūras vērtības, ar domu tālāk attīstīt informatizācijas procesu. Bibliotēkas mērķis - radīt vidi, kur katrs apmeklētājs ir gaidīts, nodrošināt iespēju bez maksas izmantot bibliotekāros pakalpojumus, informācijas tehnoloģiju lietošanu dzīves vietās, radīt pārliecību par to, ka bibliotēka ir galvenā garīgo un kultūras vērtību saglabātāja un tautā nesēja. ",,,123,4826,Jā
Asūnes pagasta bibliotēka,"Kalna iela 3-12, Asūne, Asūnes pag., Dagdas nov., LV-5676",56.02633,27.62494,Anna Vojevodska,1947,"Lasītāju apkalpošana, informācijas tehnoloģiju izmantošana, uzziņu sniegšana, novadpētniecības darbs.",Pusdienu pārtraukums 12.00-12.30,,103,5032,Jā
Asūnes pamatskolas bibliotēka,"Skolas iela 12, Asūne, Asūnes pag., Dagdas nov., LV-5676",56.02376,27.62298,,,,,,,0,
Ata Kronvalda Durbes pamatskolas  bibliotēka,"Skolas iela 5A, Durbe, Durbes nov., LV-3440",56.58738,21.37154,Anna Ivanovska,1949,,,,161,15201,
Atašienes bibliotēka,"Liepu iela 14A, Atašiene, Atašienes pag., Krustpils nov., LV-5211",56.54523,26.39278,Rita Pastare,1946,"Atašienes bibliotēka ir vienīgā publiskā bibliotēka Atašienes pagastā. Atašienes bibliotēkas mērķis – sniegt informācijas pakalpojumus visiem pagasta iedzīvotājiem, nodrošinot pilnīgu informācijas pieejamību un būt starpniekam starp sabiedrību un informācijas resursiem, tādējādi sekmējot intelektuālo attīstību. Bibliotēkas pakalpojumi: bibliotēka veic iedzīvotāju bibliotekāro, bibliogrāfisko un informacionālo apkalpošanu, nodrošina bezmaksas pieeju internetam un datoriem, SBA pakalpojumus, sniedz kopēšanas un printēšanas iespējas.",Pārtraukums 12:00 - 12:30,Jā,198,5487,Jā
Auces novada Bēnes  bibliotēka,"Stacijas iela 8, Bēne, Bēnes pag., Auces nov., LV-3711",56.48215,23.06784,Ilga Straume,1922,Bibliotēka apkalpo Bēnes pagasta centra un lauku teritorijas iedzīvotājus.,,,448,11647,Jā
Auces novada bibliotēka,"Jelgavas iela 1A, Auce, Auces nov., LV-3708",56.46621,22.89445,Jautrīte Fišere,1925,"1. Attīstīt Auces novada bibliotēku par izglītības, informācijas kultūras un sabiedriskās saskarsmes centru, nodrošināt operatīvus un kvalitatīvus sabiedrības vajadzībām atbilstošus informācijas pakalpojumus, sniegt atbalstu vietējās sabiedrības attīstībā.;2. Sniegt kvalitatīvus pakalpojumus Auces novada bibliotēkas lietotājiem un ar struktūrvienību tīklu palīdzību nodrošināt Auces novada bibliotēkas pakalpojumu pieejamību visā novada teritorijā.;3. Koordinēt un vadīt struktūrvienību darbu.;4. Sniegt konsultatīvo palīdzību Auces novada bibliotēkas struktūrvienībām, vākt, apkopot un analizēt informāciju par struktūrvienību darbu, popularizēt to darba pieredzi.;","Vasaras darba laiks no 10:00 līdz 18:00, slēgts sestdien, svētdien.",Jā,880,33285,Jā
Auces novada Īles bibliotēka,"Mālnieki, Īle, Īles pag., Auces nov., LV-3716",56.539,22.99904,Reneta Šakirova,1948,"Bibliotēka darbojas Īles pagastā un apkalpo pagasta iedzīvotājus.;Bibliotēkas uzdevums ir nodrošināt visiem bibliotēkas lietotājiem brīvu, neierobežotu informācijas saņemšanu, sniedzot pieejamus bibliotekāros un informatīvos pakalpojumus.",Katra mēneša pēdējā piektdienā bibliotēka slēgta - spodrības diena,,146,4140,Jā
Auces novada Ķeveles bibliotēka,"Bērnudārzs, Ķevele, Vītiņu pag., Auces nov., LV-3721",56.46256,22.80174,Vaļa Kupcova,1972,Vietējas nozīmes statuss,Katra mēneša pēdējā piektdiena bibliotēka slēgta - spodrības diena,,80,3673,Jā
Auces novada Lielauces bibliotēka,"Ezerkrasti 1, Lielauce, Lielauces pag., Auces nov., LV-3723",56.52323,22.89552,Aina Naumane,1946,Vietējās  nozīmes bibliotēka.,Katra mēneša pēdējā piektdienā bibliotēka slēgta - spodrības diena.,Jā,113,4512,Jā
Auces novada Ukru bibliotēka,"Stariņi, Ukri, Ukru pag., Auces nov., LV-3729",56.34138,23.05728,Mārīte Verne,1985,Nodrošina Auces novada Ukru pagasta iedzīvotājiem visa veida informāciju no bibliotēkas krājumā esošajiem iespieddarbiem un abonētajām datubāzēm.,Katra mēneša pēdējā trešdiena bibliotēka slēgta - Metodiskā diena diena,,42,3664,Jā
Auces novada Vītiņu bibliotēka,"Vītiņi, Vītiņi, Vītiņu pag., Auces nov., LV-3708",56.43903,22.92145,Benita Žukovska,1949,"Bibliotēka ir pašvaldības kultūras centrs, kas nodrošina bibliotēkas pakalpojumus un informācijas pieejamību ikvienam novada iedzīvotājam un visiem intresentiem, veicina novada sadarbības izaugsmi un piedalās mūzizglītības procesā.",Katra mēneša pēdējā piektdienā bibliotēka slēgta - spodrības diena,Jā,147,3139,Jā
Auces vidusskolas bibliotēka,"Jura Mātera iela 11, Auce, Auces nov., LV-3708",56.45779,22.89742,skolas/Indra Špela,," Bibliotēka ir izglītības iestādes struktūrvienība, kuras uzdevums nodrošināt brīvu pieeju visu  veida informācijai, veicināt patstāvīgas mācīšanās iemaņas skolēniem, atbalstīt skolotājus mācību programmu īstenošanā un audzināšanas darbā.",,,560,23371,Jā
Audriņu pagasta bibliotēka,"Krasuhas iela 3, Audriņi, Audriņu pag., Rēzeknes nov., LV-4611",56.58791,27.24755,Margarita Platonova,1958,"Audriņu pagasta bibliotēka ir Audriņu pagasta kultūras iestāde, kura veic informējošo, izglītojošo un izklaidējošo funkcijas, veidojot savu krājumu un atbilstošu vidi, nodrošinot brīvu informācijas pieejamību un brīvā laika pavadīšanu",pusdienu pārtraukums no 12:00 līdz 13:00;katra mēneša 20. datumā - spodrības diena,,224,5806,Jā
Audriņu pamatskolas bibliotēka,"Krasuhas iela 1A k-1, Audriņi, Audriņu pag., Rēzeknes nov., LV-4611",56.58745,27.243,Sandra Jeršova,1952,,,,76,13459,Jā
Augstkalnes vidusskolas bibliotēka,"Ezerpils, Augstkalne, Augstkalnes pag., Tērvetes nov., LV-3709",56.40486,23.33389,Ieva Krūmiņa,1954,,,,278,10380,Jā
Aulejas pagasta bibliotēka,"Roberta Pudnika iela 10, Auleja, Aulejas pag., Krāslavas nov., LV-5681",56.05801,27.27412,Zinaīda Pikmane,1954,Bibliotēkas lietotāju bibliotekārā un informatīvā apkalpošana.Datoru un interneta izmantošana. Materiālu kopēšana izdruka. Novadpētniecības materiālu popularizēšana. Pasākumu organizēšana. Darbs ar bibliotēkas apmeklētājiem un lasītājiem. Darbs ar bibliotēkas krājumu. Tematisko mapju veidošana.,,,105,4696,Jā
Babītes novada pašvaldības Babītes vidusskolas bibliotēka,"Jūrmalas iela 17, Piņķi, Babītes pag., Babītes nov., LV-2107",56.94248,23.9123,Ilze Rozenberga,1980,,,Jā,1016,26431,Jā
Babītes novada pašvaldības bibliotēka,"Jūrmalas iela 14A, Piņķi, Babītes pag., Babītes nov., LV-2107",56.94385,23.91289,Ilze Valpētere,1946,"Bibliotēka veic iespieddarbu, elektronisko izdevumu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu un saglabāšanu, nodrošina lietotājus ar tajā esošās informācijas publisku brīvpieeju un izmantošanu.",Katra mēneša pēdējā piektdiena-spodrības diena.,Jā,2109,30989,Jā
Babītes novada pašvaldības bibliotēkas filiāle Salas pagastā,"Pīlādzīši, Spuņciems, Salas pag., Babītes nov., LV-2105",56.92745,23.68866,Daina Auziņa,1946,"Bibliotēka veic iespieddarbu, elektronisko izdevumu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu un saglabāšanu, nodrošina bibliotēkas lietotājus ar tajā esošās informācijas publisku brīvpieeju un izmantošanu.",,Jā,231,8299,Jā
Baldones novada bibliotēka,"Rīgas iela 97, Baldone, Baldones nov., LV-2125",56.7435,24.40397,Inga Pipare,1945,"No 2008.gada 1.novembra izveidots Baldones novads, mainīts arī bibliotēkas nosaukums: Baldones novada bibliotēka, esam vienīgā novada publiskā bibliotēka. Galvenie bibliotēkas darbības mērķi: 1) Pilsētas un lauku teritorijas iedzīvotāju bibliotekārā apkalpošana un informacionālais nodrošinājums, padarot pieejamus savus un globālos informācijas resursus iedzīvotājiem. 2) Rosināt interesi bērnos un jauniešos par grāmatu, kā arī interneta iespējām informācijas meklēšanā. 3) Saglabāt vietējās nozīmes kultūras un vēsturiskos materiālus nākamajām paaudzēm.   ",Katra mēneša pēdējā trešdiena - sanitārā diena,Jā,934,19855,Jā
Baldones vidusskolas bibliotēka,"Iecavas iela 2, Baldone, Baldones nov., LV-2125",56.74227,24.38956,Gunta Amatniece,,,,,111,15191,
Baložu pilsētas bibliotēka,"Skolas iela 4, Baloži, Ķekavas nov., LV-2112",56.87732,24.1182,Dainuvīte Markelova,1958,"Bibliotēka nodrošina novada iedzīvotāju bibliotekāro, bibliogrāfisko un informatīvo apkalpošanu. Veicina iedzīvotāju informētību par pasauli, pašizglītību, tālāk attīstot progresīvo virtuālās bibliotēkas stratēģiju Latvijā.;Bibliotēka veic bibliotekāro procesu pārraudzību Ķekavas novada publiskajās un vispārizglītojošās skolu bibliotēkas; novada bibliotēku jaunieguvumu apstrādi, novada kopkataloga un novadpētniecības datu bāzes veidošanu un uzturēšanu.",Katra mēneša pēdējā otrdienā bibliotēka slēgta - spodrības diena.,,1537,32934,Jā
Baložu vidusskolas bibliotēka,"Skolas iela 6, Baloži, Ķekavas nov., LV-2112",56.8771,24.11682,Sigita Strāķe,,,Bibliotēka slēgta no 19.06. līdz 31.08.,,750,12037,
Baltijas Starptautiskās akadēmijas Centralizētā bibliotēkas sistēma,"Lomonosova iela 1 k-4, Rīga, LV-1019",56.9384,24.15688,Natalja Gratkovska,1993,"BSA visām studiju programmām ir kopīga bibliotēka, bet tās fonda komplektēšanā tiek ievērotas programmu pētnieciskās un profesionālās intereses. Bibliotēka apkalpo visus lietotājus, nodrošina informācijas resursu pieejamību, kas nepieciešami studiju procesam un docētāju darbam, sadarbojas ar studiju virziena speciālistiem informācijas nodrošinājumā un pakalpojumu sniegšanas jautājumos, kā arī piedalās lietotāju apmācībā.",,,,109279,Jā
Baltinavas novada bibliotēka,"Kārsavas iela 16, Baltinava, Baltinavas nov., LV-4594",56.94287,27.64292,Ināra Bubnova,1944,"Baltinavas bibliotēka ir Baltinavas novada pašvaldības kultūras, izglītības un informācijas iestāde, kura veic pasaules mantojuma - iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu un saglabāšanu, tās pieejamību un izmantošanu.;Galvenais uzdevums - sniegt novada iedzīvotājiem nepieciešamās zināšanas un informāciju. Saglabāt un reklamēt grāmatu kā svarīgāko informācijas līdzekli.",Pusdienu pārtraukums 13:00 līdz 13:30,,288,7222,Jā
Baltinavas vidusskolas bibliotēka,"Kārsavas iela 22, Baltinava, Baltinavas nov., LV-4594",56.94196,27.64311,Tatjana Leicāne,1951,*Pirmsskolas izglītības programma.;*Pamatizglītības programma.;*Vispārējas vidējas izglītības programma.;*Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem.,,,145,10742,
Balvu Centrālā bibliotēka,"Tirgus iela 7, Balvi, Balvu nov., LV-4501",57.13071,27.26548,Ruta Cibule,1947,"Bibliotēkas misija - kļūt par klientorientētu kultūrizglītības iestādi, nodrošinot iedzīvotājiem pilnvērtīgu informācijas pieejamību un izmantošanu.",Mēneša pēdējā piektdiena- spodrības diena,Jā,2244,44273,Jā
Balvu mūzikas skolas bibliotēka,"Partizānu iela 18, Balvi, Balvu nov., LV-4501",57.12946,27.26226,Rita Lipane,,,,,252,2046,
Balvu pagasta bibliotēka,"Saulstari, Naudaskalns, Balvu pag., Balvu nov., LV-4561",57.0884,27.24518,Aina Biseniece,,"Balvu pagasta bibliotēka apkalpo Balvu pagasta iedzīvotājus un tās apkārtnē dzīvojošos. Galvenais darbības virziens ir bibliotekārie pakalpojumi, lasīšanas veicināšana un informatīvais darbs.",,,47,4295,Jā
Balvu pamatskolas bibliotēka,"Partizānu iela 16, Balvi, Balvu nov., LV-4501",57.13028,27.26235,Rudīte Bukša,1930,,,,517,15555,Jā
Balvu profesionālās un vispārizglītojošās vidusskolas bibliotēka,"Vidzemes iela 26, Balvi, Balvu nov., LV-4501",57.13854,27.2438,Gunta Blauma,1991,,,Jā,220,8430,Jā
Balvu Valsts ģimnāzijas bibliotēka,"Dārza iela 2, Balvi, Balvu nov., LV-4501",57.13263,27.27727,Lūcija Jermacāne,1977,,,,301,17399,Jā
Banku augstskolas bibliotēka,"Krišjāņa Valdemāra iela 161, Rīga, LV-1013",56.97551,24.13467,Edīte Jurjāne,1999,,,,1542,13820,Jā
Bārbeles pagasta Bārbeles bibliotēka,"Bauskas iela 2, Bārbele, Bārbeles pag., Vecumnieku nov., LV-3905",56.45244,24.59617,Brigita Krauze,1923,,Trešdiena - metodiskā diena;;Pusdienas pārtraukums - 12:00 līdz 13:00,Jā,185,7000,Jā
Barkavas bibliotēka,"Brīvības iela 9, Barkava, Barkavas pag., Madonas nov., LV-4834",56.72633,26.60868,Rita Moroza,1923,"Barkavas bibliotēka ir pašvaldības izglītojoša, informācijas un kultūras iestāde, kas veicina iedzīvotāju tālākizglītību, nodrošina iedzīvotājiem bezmaksas pieeju internetam un vispārpieejamiem elektroniskās informācijas resursiem, nodrošina ar iespieddarbiem, veic iespieddarbu komplektēšanu, uzkrāšanu un sistematizēšanu.;;;;;; ",No 13:00- 14:00 pusdienas pārtraukums.;Mēneša 2. trešdiena semināru diena,Jā,296,6910,Jā
Barkavas pagasta Stalīdzānu bibliotēka,"Aiviekstes iela 2-2, Stalīdzāni, Barkavas pag., Madonas nov., LV-4834",56.76713,26.54226,Dacīte Tomiņa,1945,"Bibliotēka ir izglītojoša, informatīva un kultūras iestāde. Veic pasaules kultūras mantojuma, iespieddarbu uzkrāšanu, sistematizēšanu, kataloģizēšanu un saglabāšanu, kā arī nodrošina esošās informācijas publisku pieejamību un tās izmantošanu.;",,,128,4880,Jā
Barkavas pamatskolas bibliotēka,"Skolas iela 1, Barkava, Barkavas pag., Madonas nov., LV-4834",56.72631,26.60675,Antoņina Ikauniece,1984,"Bibliotēka nodrošina skolēnus visos mācību priekšmetos ar mācību grāmatām un mācību līdzekļiem.;Iespēju robežās tiek regulāri papildināts daiļliteratūras krājums, kā arī tiek atjaunots pedagoģiskās literatūras krājums.",,,96,4567,
Bārtas pagasta bibliotēka,"Tautas nams, Bārta, Bārtas pag., Grobiņas nov., LV-3482",56.35109,21.32314,Gunta Jansone,1927,Nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam Bārtas pagasta iedzīvotājam un citiem interesentiem,,,258,9793,Jā
Bārtas pamatskolas bibliotēka,"Bārtas pamatskola, Bārta, Bārtas pag., Grobiņas nov., LV-3482",56.35025,21.3219,Vita Reijere,,,,,79,3662,
Baumaņu Kārļa Viļķenes pamatskolas bibliotēka,"Viļķenes skola, Viļķene, Viļķenes pag., Limbažu nov., LV-4050",57.61469,24.59775,Regīna Zivtiņa,1935,,,,112,6621,
Bauskas 2. vidusskolas bibliotēka,"Dārza iela 9, Bauska, Bauskas nov., LV-3901",56.40975,24.19491,Natālija Pavlova,,,,Jā,567,19389,
Bauskas bērnu bibliotēka,"Uzvaras iela 3, Bauska, Bauskas nov., LV-3901",56.40547,24.18489,Sarmīte Freimane,1952,"Apkalpo pirmskolas un 1.-9.klašu skolēnus, skolotājus, bērnudārza audzinātājas, izsniedz grāmatas un žurnālus elektroniski lasīšanai uz mājām, lasītavā uz vietas. Darbojas interneta pieejas punkts, sniedzam kopēšanas, skenēšanas, printēšanas pakalpojumus. Lasītavas fondā izzinoša satura enciklopēdijas, vārdnīcas, jaunākie laikraksti un žurnāli. Organizē tematiskas pēcpusdienas, tikšanos ar rakstniekiem, dažādu profesiju cilvēkiem, novadniekiem. veiksmīga sadarbība ar Ziemeļu ministru padomi, Gētes institūtu, dažādu valstu vēstniecību IC, UNESCO LNK,LNB BLC, Bauskas novada pašvaldību, Bauskas CB, Mākslas skolu, NM muzeju, pils muzeju, fotostudiju ""Bauska"", Bauskas jaunsargu organizāciju, kultūras centru, bērnu un jauniešu centru, pirmskolas iestādēm un skolām. Realizē projektu Bērnu/Jauniešu žūrija. Regulāri notiek grāmatu apmaiņa SBA, semināri novada bibliotekārēm darbā ar bērniem. Dažādas aktivitātes skolēnu vasaras nometnēs, konkursi, radošās darbnīcas, zibakcijas, iespēja skatīties animācijas filmas.Saistošas Starptautiskas ceļojošas grāmatu, plakātu, foto, Mākslas skolas audzēkņu radošo darbu izstādes.   Bibliotēka darbojas kā sadarbības partnere Latvijas-Lietuvas programmas 2014-2020 gadam projekta  ""Biznes bibliotēku potenciālā attīstība uzņēmējdarbības veicināšanai pašvaldībās"" Nr. LLI-155 ietvaros.",,Jā,1214,15395,Jā
